10000 314
20000 477
30000 646
40000 945
50000 1147
60000 1568
70000 1657
80000 2272
90000 2115
100000 2144
110000 2381
120000 3142
130000 3071
140000 2978
150000 3327
160000 3426
170000 3931
180000 4091
190000 4489
200000 4676
210000 4733
220000 4830
230000 4898
240000 5240
250000 5661
260000 5490
270000 5702
280000 5946
290000 6106
300000 6363
310000 6941
320000 6751
330000 6968
340000 7201
350000 7721
360000 7684
370000 8040
380000 8065
390000 8581
400000 8465
410000 8782
420000 8921
430000 9649
440000 9632
450000 9620
460000 10244
470000 9970
480000 10147
490000 11720
500000 11303
510000 10819
520000 11739
530000 11226
540000 11638
550000 11903
560000 11864
570000 12456
580000 12540
590000 12503
600000 13584
610000 12993
620000 13514
630000 13727
640000 13757
650000 14405
660000 14508
670000 14527
680000 14515
690000 14976
700000 14776
710000 15973
720000 15360
730000 15833
740000 15851
750000 16786
760000 16337
770000 16787
780000 16762
790000 17361
800000 17253
810000 18667
820000 18116
830000 19859
840000 18526
850000 18448
860000 19480
870000 19012
880000 19431
890000 19802
900000 19570
910000 20250
920000 20299
930000 20419
940000 21190
950000 20988
960000 20949
970000 21710
980000 22347
990000 22039
1000000 22243
