10000 491
20000 1060
30000 1809
40000 3233
50000 4652
60000 4565
70000 4342
80000 5280
90000 6215
100000 6451
110000 7313
120000 7563
130000 8359
140000 8957
150000 9845
160000 10163
170000 10809
180000 11794
190000 12009
200000 12773
210000 13635
220000 13944
230000 14825
240000 15151
250000 16589
260000 16601
270000 17562
280000 17762
290000 18652
300000 19301
310000 19835
320000 20627
330000 21596
340000 21493
350000 22889
360000 23211
370000 23414
380000 24515
390000 25153
400000 25802
410000 27008
420000 26585
430000 27768
440000 28398
450000 29089
460000 29452
470000 30364
480000 32523
490000 31796
500000 32546
510000 33248
520000 33536
530000 34762
540000 34698
550000 35405
560000 36823
570000 36955
580000 37982
590000 38134
600000 40504
610000 39682
620000 40148
630000 40931
640000 41292
650000 42407
660000 43203
670000 43799
680000 44724
690000 44698
700000 46249
710000 46043
720000 47216
730000 47461
740000 49821
750000 50502
760000 53257
770000 51052
780000 51635
790000 52601
800000 52331
810000 54396
820000 53761
830000 55047
840000 55789
850000 56421
860000 56778
870000 57634
880000 57942
890000 60082
900000 59706
910000 60286
920000 61463
930000 61719
940000 61992
950000 63362
960000 63011
970000 64399
980000 67593
990000 66454
1000000 66371
